id,name,distance,denivele,altitude_max,altitude_min,title
0,GR1,546.0,5722,217,16,GR®1 Tour d'Ile de France
1,GR2,858.0,12384,577,2,GR®2 Sentier de la Seine
2,GR3,1300.0,15823,1609,0,GR®3 Sentier de la Loire
3,GR3_C,150.0,490,174,78,GR®3C
4,GR3_F,129.0,3692,1084,506,GR®3F
5,GR4,1578.0,35972,1881,0,GR®4 De l'Atlantique à la Méditerranée
6,GR5,1526.0,56777,2763,5,GR®5 Du Luxembourg à la Méditerranée
7,GR5_B,14.6,839,2269,1744,GR®5B
8,GR5_C,23.81,1156,2488,1283,GR®5C
9,GR5_E,45.0,910,1790,1066,GR®5E Chemin du Petit Bonheur
10,GR5_F,405.0,7926,1240,142,GR®5F Vallée de la Moselle
11,GR5_G,96.0,1439,402,168,GR®5G
12,GR6,1339.0,33812,2661,1,GR®6
13,GR7,1467.0,38934,2517,131,GR®7 Des Vosges aux Pyrénées
14,GR8,266.0,528,30,0,GR®8
15,GR9,970.0,37883,1902,2,GR®9 Du Jura à la Méditerranée
16,GR10,900.0,55071,2732,1,GR®10 La Grande traversée des Pyrénées
17,GR11,657.0,6766,218,21,GR®11 Tour du Pays d'Ile de France
18,GR12,284.0,3576,387,30,GR®12
19,GR13,462.0,8158,899,59,GR®13
20,GR14,247.0,3084,420,115,GR®14 Sentier des Ardennes
21,GR14_A,126.0,1294,189,35,GR®14A
22,GR14_B,135.0,995,282,116,GR®14B
23,GR20,178.0,12536,2598,250,GR®20 Traversée de la Corse
24,GR21,194.0,2792,130,2,GR®21 Sentier des Falaises
25,GR22,567.0,7295,398,4,GR®22 Sentier du Mont Saint-Michel
26,GR23,125.0,1983,147,0,GR®23
27,GR25,79.0,865,174,7,GR®25
28,GR26,306.0,3814,200,18,GR®26
29,GR30,197.0,5488,1874,684,GR®30
30,GR31,283.0,2345,388,67,GR®31 A travers la  Sologne
31,GR32,136.0,699,141,42,GR®32
32,GR34,2106.0,16749,124,0,GR®34 Sentier des douaniers
33,GR34_A,158.0,2252,290,4,GR®34A
34,GR34_C,66.0,676,94,4,GR®34C
35,GR34_E,45.0,771,126,2,GR®34E
36,GR35,433.0,2947,277,14,GR®35
37,GR36,1928.0,38098,2375,3,GR®36 De la Manche aux Pyrénées
38,GR37,780.0,9461,380,0,GR®37 Cœur de Bretagne
39,GR38,366.0,4924,257,2,GR®38
40,GR39,314.0,3400,115,1,GR®39
41,GR40,188.0,4752,1582,534,GR®40
42,GR41,445.0,4622,755,45,GR®41 Vallée du Cher
43,GR42,453.0,9753,1297,1,GR®42 Balcons du Rhône
44,GR43,108.0,2872,1530,539,GR®43
45,GR44,93.0,3303,1453,191,GR®44
46,GR44_B,76.0,2853,911,162,GR®44B
47,GR46,972.0,16253,763,46,GR®46
48,GR48,318.0,3224,344,30,GR®48
49,GR49,107.0,3912,1683,2,GR®49
50,GR50,371.0,19016,2367,720,GR®50
51,GR51,436.0,15214,1074,0,GR®51 Balcon de la Méditerranée
52,GR52,214.0,12571,2714,2,GR®52
53,GR53,164.0,5927,1002,159,GR®53
54,GR54,184.0,11982,2759,717,GR®54
55,GR55,54.0,2495,2796,1059,GR®55
56,GR56,152.0,8720,2674,1021,GR®56
57,GR57,84.0,5152,2829,1480,GR®57
58,GR58,107.0,7674,2888,1175,GR®58
59,GR59,605.0,16380,1246,218,GR®59 Des Vosges au Jura
60,GR60,176.0,4516,1547,89,GR®60
61,GR61,35.0,1722,1050,130,GR®61
62,GR62,222.0,6279,1300,231,GR®62
63,GR62_A,26.0,538,952,662,GR®62A
64,GR63,149.0,2676,748,16,GR®63
65,GR64,84.0,1686,374,58,GR®64
66,GR65,1139.0,23811,1426,54,GR®65 Saint Jacques de Compostelle
67,GR66,82.0,2829,1558,702,GR®66
68,GR67,125.0,3690,1168,129,GR®67
69,GR68,115.0,4338,1453,542,GR®68
70,GR69,404.0,11059,2506,2,GR®69 La Routo
71,GR70,268.0,7655,1699,130,GR®70 Sentier Stevenson
72,GR71,74.0,1181,1362,156,GR®71
73,GR71_C,77.0,1474,865,524,GR®71C
74,GR71_D,105.0,1689,865,488,GR®71D
75,GR72,100.0,3199,1452,556,GR®72
76,GR74,41.0,1501,835,111,GR®74
77,GR75,51.0,367,117,30,GR®75
78,GR76,184.0,5919,919,200,GR®76
79,GR76_A,106.0,2650,906,179,GR®76A
80,GR76_B,52.0,750,409,187,GR®76B
81,GR77,82.0,2022,996,42,GR®77
82,GR78,593.0,13717,1179,25,GR®78 Voie du Piémont
83,GR80,27.0,86,27,0,GR®80
84,GR86,277.0,5674,1224,130,GR®86
85,GR89,515.0,9882,1123,168,GR®89 Chemin de Montaigne
86,GR90,40.0,1942,760,9,GR®90
